[2026-03-19 00:33:07] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:10] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:33:12] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:13] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:14] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:17] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:20] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:21] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:24] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:26] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:27] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:31] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:32] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:34] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:38] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:38] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:42] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:43] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:46] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:50] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:50] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:51] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:33:53] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:33:58] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:01] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:03] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:07] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:08] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:34:12] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:12] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:17] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:20] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:22] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:28] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:31] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:35] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:37] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:42] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:46] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:49] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:52] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:56] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:34:59] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:35:00] WARNING  propertyhub.system | [SECURITY] Client error 404 on GET /ws/notifications/9/ | user=admin | ip=127.0.0.1 | path=GET /ws/notifications/9/
[2026-03-19 00:35:11] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:35:55] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:36:47] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:37:02] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:37:19] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/system-logs/ | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/system-logs/
[2026-03-19 00:38:07] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboad | user=admin | ip=127.0.0.1 | path=GET /admin_dashboad
[2026-03-19 00:38:11] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/users | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/users
[2026-03-19 00:38:16] INFO     propertyhub.system | [SYSTEM] Admin request GET /admin_dashboard/properties | user=admin | ip=127.0.0.1 | path=GET /admin_dashboard/properties
[2026-03-19 02:00:07] INFO     propertyhub.system | [PROPERTY] Property updated: 'CHIC' (id=7) | user=admin | ip=127.0.0.1 | path=POST /edit_property/7
[2026-03-19 02:32:18] INFO     propertyhub.system | [AUTH] User 'admin' logged out | user=admin | ip=127.0.0.1 | path=GET /logout
[2026-03-19 02:32:32] INFO     propertyhub.system | [AUTH] User 'Esther' logged in (role: Owner) | user=Esther | ip=127.0.0.1 | path=POST /logins
[2026-03-19 09:12:33] INFO     propertyhub.system | [AUTH] User 'Esther' logged out | user=Esther | ip=127.0.0.1 | path=GET /logout
[2026-03-19 09:12:50] INFO     propertyhub.system | [AUTH] User 'admin' logged in (role: Admin) | user=admin | ip=127.0.0.1 | path=POST /logins
[2026-03-19 09:43:46] INFO     propertyhub.system | [AUTH] User 'admin' logged in (role: Admin) | user=admin | ip=197.157.187.83 | path=POST /logins
[2026-03-19 09:45:02] INFO     propertyhub.system | [AUTH] User 'admin' logged out | user=admin | ip=127.0.0.1 | path=GET /logout
[2026-03-19 09:45:22] INFO     propertyhub.system | [AUTH] User 'Esther' logged in (role: Owner) | user=Esther | ip=127.0.0.1 | path=POST /logins
